3 3 0 OOO..P.....PAAB..PC.B...C.DDZ.....Z. O98 Z97 D98
3 3 0 ...OOO....ZPAAB.ZPC.B..PC.DD........ O99 P99 D98
3 3 0 ..OOO......PAAB.ZPC.B.ZPC.DD........ P99 Z99 D98
3 3 0 ..OOO......PAAB..PC.B.ZPC.DDZ....... P99 Z98 D98
3 3 0 ..OOO......PAAB..PC.B..PC.DDZ.....Z. P99 Z97 D98
3 3 0 ...OOO....Z.AAB.ZPC.B..PC.DD.P...... O99 P98 D98
3 3 0 ..OOO.......AAB.ZPC.B.ZPC.DD.P...... P98 Z99 D98
3 3 0 ..OOO.......AAB..PC.B.ZPC.DDZP...... P98 Z98 D98
3 3 0 ..OOO.......AAB..PC.B..PC.DDZP....Z. P98 Z97 D98
3 3 0 ...OOO....Z.AAB.Z.C.B..PC.DD.P.....P O99 P97 D98
3 3 0 ..OOO.......AAB.Z.C.B.ZPC.DD.P.....P P97 Z99 D98
3 3 0 ..OOO.......AAB...C.B.ZPC.DDZP.....P P97 Z98 D98
3 3 0 ..OOO.......AAB...C.B..PC.DDZP....ZP P97 Z97 D98
3 3 0 .OOO......ZPAAB.ZPC.B..PCDD......... O99 P99 D97
3 3 0 .OOO......Z.AAB.ZPC.B..PCDD..P...... O99 P98 D97
3 3 0 .OOO......Z.AAB.Z.C.B..PCDD..P.....P O99 P97 D97
3 3 0 .OOOZP....ZPAAB..PC.B...CDD......... O99 Z99 D97
3 3 0 .OOO.P.....PAAB.ZPC.B.Z.CDD......... O99 Z99 D97
3 3 0 .OOO.P.....PAAB..PC.B.Z.CDD.Z....... O99 Z98 D97
3 3 0 .OOO.P.....PAAB..PC.B...CDD.Z.....Z. O99 Z97 D97
3 3 0 OOO.......ZPAAB.ZPC.B..PCDD......... O98 P99 D97
3 3 0 OOO.......Z.AAB.ZPC.B..PCDD..P...... O98 P98 D97
3 3 0 OOO.......Z.AAB.Z.C.B..PCDD..P.....P O98 P97 D97
3 3 0 OOO.ZP....ZPAAB..PC.B...CDD......... O98 Z99 D97
3 3 0 OOO..P.....PAAB.ZPC.B.Z.CDD......... O98 Z99 D97
3 3 0 OOO..P.....PAAB..PC.B.Z.CDD.Z....... O98 Z98 D97
3 3 0 OOO..P.....PAAB..PC.B...CDD.Z.....Z. O98 Z97 D97
3 3 0 ...OOO....ZPAAB.ZPC.B..PCDD......... O99 P99 D97
3 3 0 ..OOO......PAAB.ZPC.B.ZPCDD......... P99 Z99 D97
3 3 0 ..OOO......PAAB..PC.B.ZPCDD.Z....... P99 Z98 D97
3 3 0 ..OOO......PAAB..PC.B..PCDD.Z.....Z. P99 Z97 D97
3 3 0 ...OOO....Z.AAB.ZPC.B..PCDD..P...... O99 P98 D97
