4 4 0 ...BOZ...BOZ..AAO....CC..DPPP..D.... Z99 A98 B98 C97
4 4 0 ...BO....BO...AAOZ...CCZ.DPPP..D.... Z99 A98 B98 C97
4 4 0 ...BO....BO...AAO....CCZ.DPPPZ.D.... Z98 A98 B98 C97
4 4 0 ...BO....BO...AAO....CC..DPPPZ.D...Z Z97 A98 B98 C97
4 4 0 ...BO....BOZ..AAOZ.D..CC.DPPP....... A98 B98 C96 D99
4 4 0 ...BO....BOZ.DAAOZ.D..CC..PPP....... A98 B98 C96 D98
4 4 0 ...BO..D.BOZ.DAAOZ....CC..PPP....... A98 B98 C96 D97
4 4 0 .D.BO..D.BOZ..AAOZ....CC..PPP....... A98 B98 C96 D96
4 4 0 ...BO....BOZ..AAOZ....CC.D.PPP.D.... A98 B98 C96 P99
4 4 0 ...BOZ...BOZ..AAO.....CC.DPPP..D.... Z99 A98 B98 C96
4 4 0 ...B.....BOZ..AAOZCC..O..D.PPP.D.... O99 A98 B98 P99
4 4 0 ...B.Z...BOZ..AAO.CC..O..DPPP..D.... O99 Z99 A98 B98
4 4 0 ...B.....BO...AAOZCC..OZ.DPPP..D.... O99 Z99 A98 B98
4 4 0 ...B.....BO...AAO.CC..OZ.DPPPZ.D.... O99 Z98 A98 B98
4 4 0 ...B.....BO...AAO.CC..O..DPPPZ.D...Z O99 Z97 A98 B98
4 4 0 ...BOZ...BOZ..AAO.CC.....D.PPP.D.... Z99 A98 B98 P99
4 4 0 ...BO....BO...AAOZCC...Z.D.PPP.D.... Z99 A98 B98 P99
4 4 0 ...BO....BO...AAO.....CC.DPPPZ.D...Z Z97 A98 B98 C96
4 4 0 ...B.....BOZAA..OZ.CC.O..D.PPP.D.... O99 B98 C99 P99
4 4 0 ...B.Z...BOZAA..O..CC.O..DPPP..D.... O99 Z99 B98 C99
4 4 0 ...B.....BO.AA..OZ.CC.OZ.DPPP..D.... O99 Z99 B98 C99
4 4 0 ...B.....BO.AA..O..CC.OZ.DPPPZ.D.... O99 Z98 B98 C99
4 4 0 ...B.....BO.AA..O..CC.O..DPPPZ.D...Z O99 Z97 B98 C99
4 4 0 ...BOZ...BOZAA..O..CC....D.PPP.D.... Z99 B98 C99 P99
4 4 0 ...BO....BO.AA..OZ.CC..Z.D.PPP.D.... Z99 B98 C99 P99
